county,subdivision,home_count,avg_year_built,min_year_built,max_year_built,avg_sqft,avg_floors,avg_value,avg_acres,cities,sample_addresses
Utah,Joliet Plat A,22,2006.1,2005,2018,1532.8,2.0,446836.4,0.1,American Fork,184 N 530 E; 182 N 530 E; 563 E 180 N
Utah,Lake View Estates Phase A Plat 2,22,2019.1,2018,2020,2653.2,1.5,954118.2,0.5,Eagle Mountain,3018 E LAKE VISTA DR; 2994 E LAKE VISTA DR; 2972 E LAKE VISTA DR
Utah,Renaissance At Indian Springs,22,2000.4,2000,2002,1810.8,1.0,578050.0,0.2,Pleasant Grove,2507 N RENAISSANCE CT; 2509 N RENAISSANCE CT; 2505 N RENAISSANCE CT
Utah,Country Run Phase 1,22,2003.1,2003,2006,1507.5,1.1,604286.4,0.2,Lehi,2462 W PEBBLE CREEK LN; 2446 W PEBBLE CREEK LN; 2442 W PEBBLE CREEK LN
Utah,Gardens At Ivory Ridge The Plat A,22,2012.4,2011,2015,1581.2,1.0,583695.5,0.1,Lehi,542 E 3230 N; 502 E 3230 N
Utah,Highland Springs Plat A,22,2007.4,2006,2018,2543.8,1.8,925731.8,0.4,Lehi,759 N 1400 E; 759 N 1400 E; 733 N 1400 E
Utah,Catalina Bay Plat B,22,2019.2,2018,2020,2501.8,1.7,748318.2,0.3,Saratoga Springs,3832 S ROCK DR; 3848 S ROCK DR; 187 E BEACON DR
Utah,Manila Park Estates Plat B,22,2019.5,2019,2020,2982.6,1.6,1570386.4,0.5,Pleasant Grove,3022 N 650 W; 3038 N 650 W; 3058 N 650 W
Utah,Canyon View Plat B,22,2004.4,2003,2020,1626.7,1.2,560836.4,0.3,Spanish Fork,1424 E 1240 S; 1424 E 1240 S; 1412 E 1240 S
Utah,Maple Highlands Plat A,22,2010.7,2009,2018,1514.0,1.3,539727.3,0.2,Spanish Fork,2138 E RIO GRANDE DR; 2152 E RIO GRANDE DR; 2172 E RIO GRANDE DR
Utah,Porter's Crossing Plat A,22,2000.3,2000,2001,1617.7,2.0,419777.3,0.1,Eagle Mountain,4094 E DILLON'S DR; 4104 E DILLONS DR; 4114 E DILLONS DR
Utah,Mckenzie Estates Plat A,22,2007.0,2006,2007,2382.1,1.9,616568.2,0.3,Springville,962 W 575 N; 986 W 575 N; 1012 W 575 N
Utah,Canterbury North Plat F,22,2005.8,2003,2016,2113.7,1.4,817304.5,0.4,Highland,6782 W CANTERBURY DR; 6757 W CANTERBURY DR; 6769 W CANTERBURY DR
Utah,Crestview Estates Plat A,22,2012.9,2008,2020,1424.5,1.0,601181.8,0.4,Elk Ridge,23 E PARK DR; 69 E PARK DR; 93 E PARK DR
Utah,Crossing At Traverse Phase 3,22,2018.4,2018,2020,2235.9,1.7,752304.5,0.2,Lehi,692 W HORIZON DR; 674 W HORIZON DR; 654 W HORIZON DR
Utah,Meadow Creek Ridge Phase 5,22,2020.0,2020,2020,2082.7,2.0,495481.8,0.2,Spanish Fork,1824 E 1600 N; 1826 E 1600 N; 1801 E 1600 N
Utah,Harvest Hills Pud Plat T Amd,22,2002.5,2002,2010,1311.5,1.4,478050.0,0.2,Saratoga Springs,2381 N 130 ST W; 2374 N 130 ST W; 2382 N ORCHARD WAY
Utah,Scenic Mountain Phase A Plat 3,22,2020.0,2020,2020,2074.2,2.0,533204.5,0.1,Eagle Mountain,9277 N SCENIC MOUNTAIN DR; 9269 N SCENIC MOUNTAIN DR; 9261 N SCENIC MOUNTAIN DR
Utah,Foothill Village Plat E,22,2019.1,2019,2020,1872.5,1.3,605563.6,0.3,Santaquin,930 S RED LEDGES RD; 962 S RED LEDGES RD; 988 S RED LEDGES RD
Utah,Hansen Ranch Phase 2,22,2018.3,2018,2019,3001.5,1.9,938318.2,0.3,American Fork,466 N 1250 E; 458 N 1250 E; 442 N 1250 E
Utah,Foothill Park Plat B,22,2014.5,2013,2019,2650.5,1.7,893572.7,0.3,Provo,681 N 1440 E; 693 N 1440 E; 678 N 1440 E
Utah,Santaquin Ridge Plat I,22,2006.4,2001,2020,1473.9,1.3,542890.9,0.4,Santaquin,875 E 300 S; 875 E 300 S; 875 E 300 S
Utah,Fairway Village At Sleepy Ridge Prd Phase I Amd,22,2005.7,2005,2009,2039.8,1.0,752640.9,0.2,Orem,753 S FAIRWAY LN; 763 S FAIRWAY CT; 771 S FAIRWAY CT
Utah,Exchange In Lehi The Phase 4,22,2018.0,2018,2018,1789.5,1.7,518527.3,0.1,Lehi,4110 W 1800 N; 4118 W 1800 N; 4119 W 1800 N
Utah,Haskell Plat J,22,2004.4,2001,2017,1738.3,1.2,658740.9,0.4,Elk Ridge,133 W GOOSENEST DR; 133 W GOOSENEST DR; 107 W GOOSENEST DR
Utah,Cutler Crossing Pud Plat A,22,2007.0,2007,2007,1483.3,2.0,370540.0,0.0,Lehi,839 W HOLLOW CT; 1946 N HOLLOW CT; 1948 N HOLLOW CT
Utah,Esther Ridge Plat D,22,2004.0,2003,2018,1418.9,1.4,483540.9,0.2,Spanish Fork,1676 S 2520 E; 1668 S 2520 E; 1671 S 2520 E
Utah,Elk Ridge Meadows Phase 10,22,2018.4,2018,2020,1976.5,1.3,597054.5,0.2,Elk Ridge,564 W QUAKING ASPEN ST; 542 W QUAKING ASPEN ST; 689 W QUAKING ASPEN ST
Utah,Edgewater Extension At Geneva Phase 12,22,2015.0,2015,2015,4793.4,2.0,941063.6,0.1,Vineyard,159 N 710 E; 149 N 710 E; 141 N 710 E
Utah,Hidden Canyon Estates Phase 2b,22,2018.2,2018,2019,2494.5,1.9,855222.7,0.2,Draper,14703 S SNOW LEOPARD LN; 14712 S SNOW LEOPARD LN; 2497 E EMBER DR
Utah,Eagle Crest No 3 At Suncrest,22,2010.5,2006,2020,3050.3,1.6,1451340.9,0.6,Draper,15529 S WINGED TRACE CT; 15561 S WINGED TRACE CT; 15577 S WINGED TRACE CT
Utah,Dry Creek Highlands Phase 2,22,2005.6,2005,2016,2658.5,1.4,1365900.0,0.9,Highland,11596 N SUNSET HILLS DR; 11578 N SUNSET HILLS DR; 11527 N SUNSET HILLS DR
Utah,High Valley Estates Plat A,22,2002.0,2000,2015,2503.1,1.5,1300863.6,0.8,Highland,6782 W 10205 N; 6752 W 10205 N; 6742 W 10205 N
Utah,Meadow Creek Ridge Phase 2,22,2019.0,2018,2019,2040.4,2.0,490027.3,0.1,Spanish Fork,1671 E ASPEN GROVE DR; 1661 E ASPEN GROVE DR; 1462 N SUNSET DR
Utah,Liberty Bay Plat A,22,2007.2,2006,2016,1371.7,1.1,500650.0,0.2,Provo,1319 S 910 W; 1345 S 910 W; 1377 S 910 W
Utah,North Lake Prd Plat C,22,2005.1,2003,2018,1726.6,1.9,471759.1,0.2,Lehi,526 W LAKE VIEW DR; 515 W LAKE VIEW DR; 529 W LAKE VIEW DR
Utah,Oakview Estates Plat F,22,2002.7,2001,2018,1507.7,1.3,506550.0,0.2,Spanish Fork,1708 S 2940 E; 1699 S 2940 E; 1717 S 2940 E
